company_id,from_year,to_year,previous_pattern,current_pattern
ADANIENSOL,Mar 2014,Mar 2015,Cash Accumulator,Mixed
ADANIENSOL,Mar 2015,Mar 2016,Mixed,Reinvestor
ADANIENSOL,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
ADANIENSOL,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
ADANIENSOL,Mar 2022,Mar 2023,Reinvestor,Growth Funded by Debt
ADANIENSOL,Mar 2023,Mar 2024,Growth Funded by Debt,Reinvestor
ADANIENT,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
ADANIENT,Mar 2014,Mar 2015,Reinvestor,Growth Funded by Debt
ADANIENT,Mar 2015,Mar 2016,Growth Funded by Debt,Reinvestor
ADANIENT,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
ADANIENT,Mar 2018,Mar 2019,Growth Funded by Debt,Liquidating Assets
ADANIENT,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
ADANIENT,Mar 2020,Mar 2021,Reinvestor,Growth Funded by Debt
ADANIENT,Mar 2022,Mar 2023,Growth Funded by Debt,Reinvestor
ADANIENT,Mar 2023,Mar 2024,Reinvestor,Growth Funded by Debt
ADANIGREEN,Mar 2022,Mar 2023,Growth Funded by Debt,Reinvestor
ADANIGREEN,Mar 2023,Mar 2024,Reinvestor,Growth Funded by Debt
ADANIPORTS,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
ADANIPORTS,Mar 2015,Mar 2016,Reinvestor,Growth Funded by Debt
ADANIPORTS,Mar 2016,Mar 2017,Growth Funded by Debt,Reinvestor
ADANIPORTS,Mar 2018,Mar 2019,Reinvestor,Growth Funded by Debt
ADANIPORTS,Mar 2019,Mar 2020,Growth Funded by Debt,Reinvestor
ADANIPORTS,Mar 2020,Mar 2021,Reinvestor,Growth Funded by Debt
ADANIPORTS,Mar 2021,Mar 2022,Growth Funded by Debt,Reinvestor
ADANIPOWER,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
ADANIPOWER,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
AGTL,Mar 2018,Mar 2019,Growth Funded by Debt,Liquidating Assets
AGTL,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
AGTL,Mar 2020,Mar 2021,Reinvestor,Growth Funded by Debt
AGTL,Mar 2023,Mar 2024,Growth Funded by Debt,Reinvestor
AMBUJACEM,Dec 2021,Mar 2023,Reinvestor,Growth Funded by Debt
APOLLOHOSP,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
APOLLOHOSP,Mar 2014,Mar 2015,Reinvestor,Growth Funded by Debt
APOLLOHOSP,Mar 2017,Mar 2018,Growth Funded by Debt,Reinvestor
AXISBANK,Mar 2014,Mar 2015,Growth Funded by Debt,Mixed
AXISBANK,Mar 2015,Mar 2016,Mixed,Distress Signal
AXISBANK,Mar 2016,Mar 2017,Distress Signal,Reinvestor
AXISBANK,Mar 2017,Mar 2018,Reinvestor,Mixed
AXISBANK,Mar 2018,Mar 2019,Mixed,Growth Funded by Debt
AXISBANK,Mar 2023,Mar 2024,Growth Funded by Debt,Mixed
BAJAJ-AUTO,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
BAJAJ-AUTO,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
BAJAJ-AUTO,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
BAJAJ-AUTO,Mar 2023,Mar 2024,Liquidating Assets,Reinvestor
BAJAJFINSV,Mar 2015,Mar 2016,Distress Signal,Mixed
BAJAJFINSV,Mar 2016,Mar 2017,Mixed,Distress Signal
BAJAJFINSV,Mar 2017,Mar 2018,Distress Signal,Mixed
BAJAJFINSV,Mar 2020,Mar 2021,Mixed,Growth Funded by Debt
BAJAJFINSV,Mar 2021,Mar 2022,Growth Funded by Debt,Distress Signal
BAJAJFINSV,Mar 2022,Mar 2023,Distress Signal,Mixed
BAJAJHLDNG,Mar 2015,Mar 2016,Reinvestor,Liquidating Assets
BAJAJHLDNG,Mar 2016,Mar 2017,Liquidating Assets,Pre-Revenue
BAJAJHLDNG,Mar 2017,Mar 2018,Pre-Revenue,Reinvestor
BAJFINANCE,Mar 2017,Mar 2018,Mixed,Distress Signal
BAJFINANCE,Mar 2018,Mar 2019,Distress Signal,Mixed
BAJFINANCE,Mar 2021,Mar 2022,Mixed,Distress Signal
BAJFINANCE,Mar 2022,Mar 2023,Distress Signal,Mixed
BANKBARODA,Mar 2013,Mar 2014,Reinvestor,Growth Funded by Debt
BANKBARODA,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
BANKBARODA,Mar 2015,Mar 2016,Reinvestor,Pre-Revenue
BANKBARODA,Mar 2016,Mar 2017,Pre-Revenue,Reinvestor
BANKBARODA,Mar 2017,Mar 2018,Reinvestor,Mixed
BANKBARODA,Mar 2019,Mar 2020,Mixed,Growth Funded by Debt
BANKBARODA,Mar 2020,Mar 2021,Growth Funded by Debt,Pre-Revenue
BANKBARODA,Mar 2021,Mar 2022,Pre-Revenue,Reinvestor
BANKBARODA,Mar 2022,Mar 2023,Reinvestor,Pre-Revenue
BANKBARODA,Mar 2023,Mar 2024,Pre-Revenue,Mixed
BEL,Mar 2014,Mar 2015,Mixed,Reinvestor
BEL,Mar 2016,Mar 2017,Reinvestor,Mixed
BEL,Mar 2017,Mar 2018,Mixed,Pre-Revenue
BEL,Mar 2018,Mar 2019,Pre-Revenue,Reinvestor
BEL,Mar 2022,Mar 2023,Reinvestor,Liquidating Assets
BEL,Mar 2023,Mar 2024,Liquidating Assets,Reinvestor
BHARTIARTL,Mar 2013,Mar 2014,Reinvestor,Growth Funded by Debt
BHARTIARTL,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
BHARTIARTL,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
BHARTIARTL,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
BHEL,Mar 2014,Mar 2015,Growth Funded by Debt,Liquidating Assets
BHEL,Mar 2016,Mar 2017,Liquidating Assets,Reinvestor
BHEL,Mar 2017,Mar 2018,Reinvestor,Liquidating Assets
BHEL,Mar 2018,Mar 2019,Liquidating Assets,Mixed
BHEL,Mar 2019,Mar 2020,Mixed,Distress Signal
BHEL,Mar 2020,Mar 2021,Distress Signal,Reinvestor
BHEL,Mar 2022,Mar 2023,Reinvestor,Distress Signal
BOSCHLTD,Mar 2016,Mar 2017,Reinvestor,Liquidating Assets
BOSCHLTD,Mar 2017,Mar 2018,Liquidating Assets,Reinvestor
BOSCHLTD,Mar 2018,Mar 2019,Reinvestor,Liquidating Assets
BOSCHLTD,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
BOSCHLTD,Mar 2022,Mar 2023,Reinvestor,Liquidating Assets
BPCL,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
BPCL,Mar 2017,Mar 2018,Growth Funded by Debt,Reinvestor
BPCL,Mar 2018,Mar 2019,Reinvestor,Growth Funded by Debt
BPCL,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
BRITANNIA,Mar 2013,Mar 2014,Liquidating Assets,Reinvestor
BRITANNIA,Mar 2019,Mar 2020,Reinvestor,Growth Funded by Debt
BRITANNIA,Mar 2020,Mar 2021,Growth Funded by Debt,Liquidating Assets
BRITANNIA,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
BRITANNIA,Mar 2023,Mar 2024,Reinvestor,Liquidating Assets
CANBK,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
CANBK,Mar 2017,Mar 2018,Growth Funded by Debt,Mixed
CANBK,Mar 2018,Mar 2019,Mixed,Reinvestor
CANBK,Mar 2019,Mar 2020,Reinvestor,Mixed
CANBK,Mar 2020,Mar 2021,Mixed,Growth Funded by Debt
CANBK,Mar 2022,Mar 2023,Growth Funded by Debt,Mixed
CANBK,Mar 2023,Mar 2024,Mixed,Reinvestor
CHOLAFIN,Mar 2013,Mar 2014,Distress Signal,Mixed
CHOLAFIN,Mar 2021,Mar 2022,Mixed,Distress Signal
CHOLAFIN,Mar 2022,Mar 2023,Distress Signal,Mixed
CIPLA,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
CIPLA,Mar 2014,Mar 2015,Reinvestor,Growth Funded by Debt
CIPLA,Mar 2016,Mar 2017,Growth Funded by Debt,Reinvestor
CIPLA,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
CIPLA,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
COALINDIA,Mar 2013,Mar 2014,Reinvestor,Liquidating Assets
COALINDIA,Mar 2017,Mar 2018,Liquidating Assets,Reinvestor
COALINDIA,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
COALINDIA,Mar 2021,Mar 2022,Liquidating Assets,Reinvestor
DABUR,Mar 2018,Mar 2019,Reinvestor,Liquidating Assets
DABUR,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
DIVISLAB,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
DIVISLAB,Mar 2017,Mar 2018,Growth Funded by Debt,Reinvestor
